"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Brotherton was born at Manchester in 1814, and in early life was engaged in the silk trade, but, foreseeing that the commercial treaty with France was likely to bring to an end the prosperity of his business, he retired with a competence .","(Edward Brotherton, place of birth, Manchester)"
Lieutenant-Colonel Koichi Morita (1865 -- 1929) was a Japanese army officer born in Tokyo .,"(Koichi Morita, place of birth, Tokyo)"
"Born in Miami, Florida in 1957, Jon Cone is a collaborative printmaker, pioneer and developer of photographic ink jet technologies, educator, and photographer .","(Jon Cone, place of birth, Miami)"
"Alicia Plaza, born April 30, 1957 in Caracas, Venezuela, is a veteran, Venezuelan actress .","(Alicia Plaza, place of birth, Caracas)"
"Albert Rudomine, born in Kiev in the Ukraine on 27 April 1892 and died in Paris on 4 April 1975, was a French photographer perhaps best known for his nudes .","(Albert Rudomine, place of birth, Kiev)"
Nicholson was born in Oxford as Rosa Winifred Roberts .,"(Winifred Nicholson, place of birth, Oxford)"
George Brunner is an American composer and performer born in Philadelphia .,"(George Brunner, place of birth, Philadelphia)"
"Hamilton Ward, Sr (July 3, 1829 Salisbury, Herkimer County, New York - December 28, 1898 Wellsville, Allegany County, New York) was an American lawyer and politician .","(Hamilton Ward, Sr., place of birth, Salisbury)"
"Oliver Lanard Fassig was born at Columbus, Ohio, on April 5, 1860, son of Mathias and Elizabeth (Lanard) Fassig .","(Oliver Lanard Fassig, place of birth, Columbus)"
"Ira Vail (22 November 1893 Montreal, Canada -- 21 April 1979 Daytona Beach, Florida) was a Canadian-American racecar driver .","(Ira Vail, place of birth, Montreal)"
"Magdaléna Hajóssyová (born 25 July 1946, Bratislava) is a renowned classical Slovak soprano who has had an active international career singing in operas, concerts, and recitals since the late 1960s .","(Magdaléna Hajóssyová, place of birth, Bratislava)"
"Emilio De Fabris was born 1808 in Florence, Italy .","(Emilio De Fabris, place of birth, Florence)"
"Michel Bellemare (b. July 10, 1967 in Ottawa) was member of the City Council in Ottawa, Canada from 1994 to 2010 .","(Michel Bellemare, place of birth, Ottawa)"
"John Littleton is the son of glass artist Harvey Littleton and his wife, Bess Tamura Littleton .","(John Littleton and Kate Vogel, place of birth, Madison)"
"Born in London, Brett was educated at Eton and Trinity College, Cambridge .","(Reginald Brett, 2nd Viscount Esher, place of birth, London)"
"Alison Waters (born 19 March 1984, in London, United Kingdom) is a professional squash player from England .","(Alison Waters, place of birth, London)"
"Deepa Kaul (Hindi-Urdu, Kashmiri: दीपा कौल, دیپا کول) (born April 12, 1944, London) is a social democratic leader of the Indian National Congress and has headed ministries, including social welfare, culture, and tourism, as a member of the legislature of Uttar Pradesh .","(Deepa Kaul, place of birth, London)"
"Born in Peel, Isle of Man, Morrison worked for the promotion of Manx Gaelic music, folklore and literature, editing Yn Cheshaght Ghailckagh's journal Mannin, which appeared between 1913 and 1917 in nine volumes .","(Sophia Morrison, place of birth, Peel)"
Sébastien Denis (born 4 May 1971 in Paris) is a French hurdler .,"(S%C3%A9bastien Denis, place of birth, Paris)"
"((File:Forest-House.jpg thumb 300px right Joan Backes - Forest-House, 2010, (permanent installation), Darmstadt, Germany. Invitational International Biennial `` Internationalen Waldkunstpfad '')) Joan Backes is an American artist who was born in Milwaukee, Wisconsin .","(Joan Backes, place of birth, Milwaukee)"
"Born in Belmont, MA, in 1915, Hopkins attended the Massachusetts Institute of Technology (MIT) under a full scholarship, earning a BS in 1937 .","(Robert E. Hopkins, place of birth, Belmont)"
"Rabbi Shlomo Wolbe (Wilhelm Wolbe, 1914 - April 25, 2005) was a Haredi rabbi born in Berlin and died in Jerusalem .","(Shlomo Wolbe, place of birth, Berlin)"
Knut Walbye (born 9 January 1968 in Oslo) was a former Norwegian ice hockey player .,"(Knut Walbye, place of birth, Oslo)"
"John Polk Allen (born 6 May 1929, Carnegie, Oklahoma) is a systems ecologist and engineer, metallurgist, adventurer and writer .","(John P. Allen, place of birth, Carnegie)"
"Priya Thomas is a Canadian artist and musician born in Hamilton, Ontario and raised on the South Shore of Montreal, Quebec .","(Priya Thomas, place of birth, Hamilton)"
"Adamuszek, Jerzy (born 30 09 1955 in Poland; since 1980 lives in Montreal) .","(Jerzy Adamuszek, place of birth, Poland)"
"Stephen Gould is an American heldentenor, born in Virginia .","(Stephen Gould, place of birth, Virginia)"
"Nadia Zaffar born in Karachi, is an anchor and producer for Dawn News, Pakistan's first English-language TV news channel .","(Nadia Zaffar, place of birth, Karachi)"
"Nick Karner is an American actor and director, born July 7, 1982 in Hartford, Connecticut .","(Nick Karner, place of birth, Hartford)"
"Born in Baltimore, Maryland, Emerich attended the public schools .","(Martin Emerich, place of birth, Baltimore)"
"Born in Minneapolis, Minnesota, Peterson was the youngest son in a musical family .","(Paul Peterson, place of birth, Minneapolis)"
"Although he was born in France, Noubissie represents his parents' homeland of Cameroon .","(Erick Noubissie, place of birth, France)"
Patrice Roy (born in 1963 in Quebec) is a Canadian news anchor .,"(Patrice Roy, place of birth, Quebec)"
"O'chi Brown is a female dance music singer born in Tottenham, London England .","(O'Chi Brown, place of birth, Tottenham)"
Jennifer Huppert (born 13 October 1962) is an Australian politician .,"(Jennifer Huppert, place of birth, Melbourne)"
"Nicolas Moreton is a British artist born in 1961 in Watford, Hertfordshire .","(Nicolas Moreton, place of birth, Watford)"
John Chorlton was born at Salford in 1666 .,"(John Chorlton, place of birth, Salford)"
"Lynda Blutreich (née Lipson; born December 13, 1971 in Lynn, Massachusetts) is a javelin thrower from the United States .","(Lynda Blutreich, place of birth, Lynn)"
"William F Brown (29 November 1919, in Tampa, Florida -- 6 September 2010 in Kennewick, Washington) was an American welding engineer, professional engineer and magnetic pulse welding expert .","(William F. Brown, place of birth, Tampa)"
Gabriel Caruana (born in 1929 in Malta) is a Maltese artist who works primarily in ceramics .,"(Gabriel Caruana, place of birth, Malta)"
"Leo C Zeferetti (born July 15, 1927) was a Democratic member of the United States House of Representatives from New York .","(Leo C. Zeferetti, place of birth, Brooklyn)"
"Forde, born at Cork on 5 April 1805, was son of Samuel Forde, a tradesman, who became involved in difficulties, and went to America, deserting his family .","(Samuel Forde, place of birth, Cork)"
"Stephanie Reaves (born February 24, 1967, Maine) is an American professional race driver .","(Stephanie Reaves, place of birth, Maine)"
Lovro Artuković (born in 1959 in Zagreb) is a contemporary Croatian painter and graphic artist who primarily paints large scale figurative canvases .,"(Lovro Artukovi%C4%87, place of birth, Zagreb)"
"Born in Allegheny City, now commonly known as the North Side of Pittsburgh, PA, Stotz spent a brief time in Europe before setting up shop in his home region in 1893 .","(Edward Stotz, place of birth, Allegheny)"
"Otto Eugen Schulz (31 October 1874 - 17 February 1936) was a German botanist, born in Berlin .","(Otto Eugen Schulz, place of birth, Berlin)"
"Born in France to American parents, JB Jackson spent his early school years in Washington, DC and in Europe .","(J. B. Jackson, place of birth, France)"
"Tara Brabazon (3 January 1969 -) is Professor of Communication at the University of Ontario Institute of Technology, Canada .","(Tara Brabazon, place of birth, Perth)"
"Born in Tiflis of a deacon, Ardaziani graduated from the local theological seminary and entered the civil service under the Russian viceroyal administration .","(Lavrenti Ardaziani, place of birth, Tbilisi)"
"Born in Aurora, Illinois, Reid was one of eleven children of an Irish grocery store owner .","(Frank R. Reid, place of birth, Aurora)"
"Born in Liverpool, Fraser was raised in Nova Scotia .","(Murray Fraser, place of birth, Liverpool)"
Azman bin Abdullah (born 28 November 1986) in Singapore is a renowned Singaporean bodybuilder who became a local icon and world-leading sportsman in the 1990s .,"(Azman bin Abdullah, place of birth, Singapore)"
"Wolfgang Baur was born in a suburb of Chicago, and later attended the University of Illinois and then Cornell University for graduate studies in biochemistry and molecular biology to pursue an academic career in research .","(Wolfgang Baur, place of birth, Chicago)"
"Oleg Strizhakov (; born 18 July 1963 in Tbilisi, Georgian SSR) is a retired Russian long-distance runner .","(Oleg Strizhakov, place of birth, Tbilisi)"
"Nick Taylor (born 24 December 1971, in Oldham, Lancashire, England) is a professional squash player and squash coach from the United Kingdom .","(Nick Taylor, place of birth, Oldham)"
"The introduction to a dialogue called Virgilius orator an poeta is extant, in which the author (whose name is given as Publius Annius Florus) states that he was born in Africa, and at an early age took part in the literary contests on the Capitol instituted by Domitian .","(Publius Annius Florus, place of birth, Africa)"
"Born in Pike, in what is now Wyoming County, New York, Fairbank grew up in an intensely religious family environment .","(Calvin Fairbank, place of birth, Pike)"
"John Donaldson was born at Edinburgh in 1737, and distinguished himself as a miniature painter, both in enamel and water-colours .","(John Donaldson, place of birth, Edinburgh)"
"Born in Darlington, Cocks was educated at Plymouth College and became a journalist .","(Seymour Cocks, place of birth, Darlington)"
"Peter Bladen, (1922 -- 2001) was an Australian poet born at Perth .","(Peter Bladen, place of birth, Perth)"
"Charles Julius Mickle (July 22, 1849 in Stratford, Canada West, now Ontario -- November 10, 1919, Minnedosa, Manitoba) was a politician in Manitoba, Canada .","(Charles Mickle, place of birth, Stratford)"
"Verna Allee, born 1949 in Kansas, United States, is an American business consultant and writer on topics including value networks, knowledge management, organizational intelligence, intellectual capital and the value conversion of intangibles .","(Verna Allee, place of birth, Kansas)"
"Born in Lincoln, Nebraska, Scott W Skavdahl received his BS (1989) and JD (1992) from the University of Wyoming .","(Scott W. Skavdahl, place of birth, Lincoln)"
Martine Roure (born 28 September 1948 in Lyon) is a French politician and Member of the European Parliament for the south-east of France .,"(Martine Roure, place of birth, Lyon)"
"Alan Clayson (born 3 May 1951, Dover, Kent, England) is a singer-songwriter, who was popular in the late 1970s as leader of Clayson and the Argonauts (who reformed in 2005) .","(Alan Clayson, place of birth, Dover)"
"Robin McNamara (born 5 May 1947, in Newton, Massachusetts) is an American singer, songwriter and musician .","(Robin McNamara, place of birth, Newton)"
"Michele Pace del Campidoglio, a painter of fruit and flowers, born at Rome in 1610 .","(Michele Pace del Campidoglio, place of birth, Rome)"
"Born in northern Nigeria, Okeke was the child of an Igbo family, and was educated in the region; this, combined with stories told by his mother and sister, inspired in him an interest in Igbo culture that was further whetted when he found that his mother had been an uli artist .","(Uche Okeke, place of birth, Nigeria)"
"Rana was born and brought up in Wolverhampton, West Midlands, England and attended Smestow school .","(Satnam Rana, place of birth, Wolverhampton)"
"Born in Doncaster, Elland attended Doncaster Grammar School before entering journalism .","(Percy Elland, place of birth, Doncaster)"
"The son of John Glas, the divine, Glas was born at Dundee in 1725, and is said to have been brought up as a surgeon .","(George Glas, place of birth, Dundee)"
"Born on January 20, 1917 in Lwów, Poland (now Lviv, Ukraine), Lerski studied law at Lwów University .","(Jerzy Jan Lerski, place of birth, Lviv)"
"Born in Auburn, New York, Merriman attended the Auburn Academy and was graduated from Hobart College, Geneva, New York, in 1861 .","(Truman A. Merriman, place of birth, Auburn)"
"Born in the village of Haugh­ton in Staffordshire, Darwall was educated at Manchester Grammar School and at Brasenose College, Oxford (which he entered at the age of 14), grad­u­at­ing in 1756 .","(John Darwall, place of birth, Staffordshire)"
Wendell White (born 23 November 1964 in Barbados) is a Bermudian cricketer .,"(Wendell White, place of birth, Barbados)"
"Borah Bergman (born December 13, 1933, Brooklyn) is an American free jazz pianist .","(Borah Bergman, place of birth, Brooklyn)"
"Born in Montreal, Québec, Canada, Couture completed a PhD in history at the University of Montreal in 1987 and has been in Edmonton, Canada since 1988 as a professor in social sciences and Canadian studies .","(Claude Couture, place of birth, Montreal)"
"Allen was born in the village of Woodstock and started college at Dickinson College in Carlisle, Pennsylvania .","(Robert Allen, place of birth, Woodstock)"
"Born in Richmond, Virginia, Ellett attended private schools in Richmond .","(Tazewell Ellett, place of birth, Richmond)"
Richard Sheepshanks (30 July 1794 in Leeds -- 4 August 1855) was an English astronomer .,"(Richard Sheepshanks, place of birth, Leeds)"
"Serhat Bedük (20 April 1983, in Ankara), more commonly known by his stage name Bedük, is a Turkish musician .","(Bedük, place of birth, Ankara)"
"Jonathan was born to a Quaker (Religious Society of Friends) family in Newport, Rhode Island .","(Jonathan Hazard, place of birth, Newport)"
"Ajit Ninan (born in 1955 in Hyderabad, India) is a well-known Indian political cartoonist, best known for drawing the Centrestage series of cartoons in India Today magazine and Ninan's World in the Times of India .","(Ajit Ninan, place of birth, Hyderabad)"
"Gilles Latulippe (b. 31 August 1937, Montreal, Canada) is a Québécois actor, comedian and theatre director and manager .","(Gilles Latulippe, place of birth, Montreal)"
"Born in Scotland, Smith was educated at University College, Durham University receiving an MA in 1852 and held the post of curator and chaplain at Northumbria before he arrived in New South Wales with his family in 1855 .","(Pierce Galliard Smith, place of birth, Scotland)"
His five children include hedge fund manager Jonathan Kinlay and the actress Antonia Kinlay is one of five grandchildren .,"(James Kinlay, place of birth, Glasgow)"
Aytaç Biter (born 5 November 1965 in Ankara) is a Turkish auto racing driver .,"(Aytaç Biter, place of birth, Ankara)"
"Rood, who was born in Cleveland, Ohio, was appointed membership with Orpheus after a history of regularly performing, touring, and recording with the group for 15 years .","(Richard Rood, place of birth, Cleveland)"
"A graduate student of the Neumann institute of graphic arts, and the Center of Graphic Studies (CEGRA) for engraving, Balthazar's first individual exhibitions go back to 1966 .","(Balthazar Armas, place of birth, Caracas)"
"Mohammed Wali Zazi (born in 1955 in Afghanistan), currently a naturalized US citizen, residing in Arapahoe County, Colorado, is a suspect in matters related to terrorism .","(Mohammed Wali Zazi, place of birth, Afghanistan)"
"Bob Rockwell (b. May 1945, Miami, Oklahoma) is a jazz saxophonist .","(Bob Rockwell, place of birth, Miami)"
"Louis Antonelli is a filmmaker and poet, born in Chicago, Illinois on July 28, 1962 .","(Louis Antonelli, place of birth, Chicago)"
"Susan Krieg was born and grew up in Fargo, North Dakota and has since lived in Chicago, Minneapolis, San Francisco/Oakland, Phoenix, Manhattan, and Los Angeles .","(Susan Krieg, place of birth, Fargo)"
"Born in Borneo, Michael Matus grew up in Hong Kong, San Francisco, Sussex and Kent, where he went to school as a choral scholar at The King's School in Canterbury .","(Michael Matus, place of birth, Borneo)"
"Mohammad Aslam (born 7 September 1961, Karachi, Pakistan) is a former United Arab Emirates cricketer .","(Mohammad Aslam, place of birth, Karachi)"
"Bahar Movahed Bashiri (born April 27, 1979 - Tehran) is the Iranian portrait caricaturist, Persian classical vocalist and dentist .","(Bahar Movahed Bashiri, place of birth, Tehran)"
He was the son of William Stillson and Nancy Chapman .,"(Daniel Chapman Stillson, place of birth, Durham)"
"Born in Berlin, Erich Werdermann was the son of the landowner Carl Werdermann .","(Erich Werdermann, place of birth, Berlin)"
"Born in London 24 March 1767, he was second son of Herbert Mayo, DD (1720--1802), by his wife Mary, daughter of George Coldham, surgeon extraordinary to the Prince of Wales .","(Charles Mayo, place of birth, London)"
Leon Athanese Gosselin (born 16 January 1815 in Paris -- died 30 April 1887) was a French surgeon remembered for describing the Gosselin fracture in 1866 .,"(Leon Athanese Gosselin, place of birth, Paris)"
"Rosario Marciano, born July 5, 1944 in Caracas, Venezuela, died there September 4, 1998 was a classical pianist, musicologist and teacher .","(Rosario Marciano, place of birth, Caracas)"
"Hannan Sarkar () (born December 1, 1982, in Dhaka) is a Test cricketer for the Bangladesh cricket team .","(Hannan Sarkar, place of birth, Dhaka)"
"Simon Bowman is a British actor and singer, born in, Cardiff and trained at Mountview Theatre School .","(Simon Bowman, place of birth, Cardiff)"
"Born in Baltimore, Maryland, Thomas studied law and was admitted to the bar in 1856, commencing practice soon afterwards in Cumberland, Maryland .","(John Lewis Thomas, place of birth, Baltimore)"
"Seth Lipsky (born in 1946 in Brooklyn) is the founder and editor of the New York Sun, an independent conservative daily in New York City that ceased its print edition on September 30, 2008 .","(Seth Lipsky, place of birth, Brooklyn)"
"Elizabeth Hess (born 17 July, 1953 in Ontario, Canada) is a Canadian actress best known for playing mother Janet Darling on the long-running American sitcom Clarissa Explains It All .","(Elizabeth Hess, place of birth, Ontario)"
"Born in Honolulu, Mollway earned a bachelor's degree in English literature from the University of Hawaii in 1971 and a master's degree in English literature from the University of Hawaii in 1973 .","(Susan Oki Mollway, place of birth, Honolulu)"
"Judy Dunaway (born 1964 Mississippi) is an avant-garde composer, free improvisor, conceptual sound artist and creator of sound installations who is primarily known for her sound works for latex balloons .","(Judy Dunaway, place of birth, Mississippi)"
"Born at Rishton in Lancashire to William Hindle and Elizabeth Woolstonecraft, he received a limited education and began working in a cotton factory at the age of eleven .","(John Hindle, place of birth, Lancashire)"
"The governor found Serenus innocent of insulting the guard's wife, but had him beheaded anyway when he refused to sacrifice to the Roman gods .","(Serenus the Gardener, place of birth, Greece)"
Dean Sullivan (born 7 June 1955 in Liverpool) is an English actor .,"(Dean Sullivan, place of birth, Liverpool)"
Aarne Ruben (17 July 1971 in Tallinn) is an Estonian writer .,"(Aarne Ruben, place of birth, Tallinn)"
"Samuel Campbell (July 11, 1773 Mansfield, then in Windham Co., now in Tolland County, Connecticut -- June 2, 1853 Columbus, Chenango County, New York) was an American politician from New York .","(Samuel Campbell, place of birth, Mansfield)"
"Nabil Kanso is a Lebanese-American painter born in Beirut, Lebanon .","(Nabil Kanso, place of birth, Beirut)"
"Kurt Hitke (1 December 1889 Dresden, Germany -- 23 February 1979 Miami, Florida) was an American racecar driver .","(Kurt Hitke, place of birth, Dresden)"
"Born in London, England, the eldest son of Lieutenant-General Sir Charles William Doyle and Sophia Cramer Coghill, he attended the Royal Military Academy Sandhurst and joined the army as an ensign of the 24th, 2nd Warwickshire, Regiment of Foot on December 23, 1819 .","(Charles Hastings Doyle, place of birth, London)"
"Gyles Daubeney Brandreth (born 8 March 1948, Germany) is a British writer, broadcaster and former Conservative Member of Parliament and junior minister .","(Gyles Brandreth, place of birth, Germany)"
"Born in Paris, Granel attended the lycée Louis-le-Grand and the courses of Michel Alexandre, Jean Hyppolite and, later, of Louis Althusser and Jean Beaufret .","(Gérard Granel, place of birth, Paris)"
"Javed Akhtar (born November 21, 1940, Delhi, India) is a former Pakistani cricketer who played in one Test in 1962 .","(Javed Akhtar, place of birth, Delhi)"
"Emilio Menéndez del Valle (born 20 June 1945 in Madrid) is a Spanish politician and Member of the European Parliament for the Spanish Socialist Workers' Party, part of the Party of European Socialists .","(Emilio Menéndez, place of birth, Madrid)"
"Ghulam Abbas (Urdu: )(born May 1, 1947, Delhi, India) is a former Pakistani cricketer who played in one Test in 1967 .","(Ghulam Abbas, place of birth, Delhi)"
"Born in Massachusetts in 1943, Gable graduated from Kenyon College in 1965 and received his PhD in History from Brown University in 1972 .","(John Allen Gable, place of birth, Massachusetts)"
"Bass was born and grew up in Philadelphia, Pennsylvania .","(Leon Bass, place of birth, Philadelphia)"
"Anna Akhsharumova (; born 9 January 1957, Moscow) is a Woman Grandmaster of chess .","(Anna Akhsharumova, place of birth, Moscow)"
"Brennan was born at Tipperary, Ireland, and ordained to the priesthood at Brixen-Tyrol on July 4, 1880 .","(Thomas Francis Brennan, place of birth, Tipperary)"
"Martin Ingham Townsend (February 6, 1810 Hancock, - March 8, 1903 Troy, Rensselaer County, New York) was an American lawyer and politician from New York .","(Martin I. Townsend, place of birth, Hancock)"
"Marisa Masullo (born 8 May 1959 in Milan) is an Italian athlete, who mainly competed in the 100 and 200 metres .","(Marisa Masullo, place of birth, Milan)"
"Born in Aberdeen to stonemason John Annand and his wife Clarinda Dinnie, she was one of the first women to study at Aberdeen University .","(Rachel Annand Taylor, place of birth, Aberdeen)"
"Mark Michalowski (born 1963 in Chesterfield) is the editor of Shout! , ``Yorkshire's lesbian, gay, bisexual and transgender paper'', as well as being an author best known for his work writing spin-offs based on the BBC Television series Doctor Who .","(Mark Michalowski, place of birth, Chesterfield)"
"Gabbai's father was a native of Morocco and his mother a descendant of German Jews; they married in France, where Gabbai was born .","(Yisroel Meir Gabbai, place of birth, France)"
"Bill Endicott (5 November 1876 Montgomery, Indiana -- 7 June 1944 Indianapolis, Indiana) was an American racecar driver .","(Bill Endicott, place of birth, Montgomery)"
"Born in Cambridge, he was the son of William Whitaker (1548--1595), noted Protestant scholar and Master of St John's College, Cambridge .","(Alexander Whitaker, place of birth, Cambridge)"
"Hayden Turner born 16 January 1966 in Sydney, Australia, is a television and cable TV presenter .","(Hayden Turner, place of birth, Sydney)"
"Born in Milwaukee, Wisconsin, Menos graduated from Lincoln High School and served in the United States Army Air Corps .","(Gus Menos, place of birth, Milwaukee)"
"Maria Rose (born 14 November 1980 in Kerala, India) is the pseudonym of a South Indian writer, writing in Malayalam, who mainly concentrates on children's fiction, horror, suspense, and thriller genre .","(Maria Rose, place of birth, Kerala)"
"Norbert Francis Attard, born in Malta in 1951 is an artist working in several disciplines such as painting, printing, sculpture, video and photography .","(Norbert Francis Attard, place of birth, Malta)"
"Elijah Wadsworth (4 Nov 1747 Hartford, Connecticut - 30 Dec 1817 Canfield, Ohio) was a Captain in the American Revolutionary War and a Major General in the War of 1812 .","(Elijah Wadsworth, place of birth, Hartford)"
"Born in Sicily, Conte is a resident of Roslyn, New York .","(Pasquale Conte, place of birth, Sicily)"
"Tom Maniatis born 8 May 1943 in Denver, Colorado is an American professor of molecular and cellular biology .","(Tom Maniatis, place of birth, Colorado)"
"Donald McGauchie (born 29 January 1959) in Sydney, Australia, is a member of the board of the Reserve Bank of Australia since 30 March 2001 and has recently been appointed chairman of the Nufarm board, and was the former chairman of Telstra Corporation .","(Donald McGauchie, place of birth, Sydney)"
"François Maspero (born 19 January 1932 in Paris)) is a French author and journalist, best known as a publisher of leftist books in the 1970s .","(François Maspero, place of birth, Paris)"
"Bruce Pennington (born 10 May 1944 in Somerset) is a British painter, perhaps best known for his science fiction and fantasy novel cover art .","(Bruce Pennington, place of birth, Somerset)"
"Born in France, Collins went to sea at age sixteen as a cooper's apprentice on a Dutch ship .","(John Baptist Collins, place of birth, France)"
"Eaton, born in Kent in or about 1575, was educated at Trinity College, Oxford, where he became the first recipient of the newly founded Blount exhibition in 1590 .","(John Eaton, place of birth, Kent)"
"Born in Calgary, Alberta, Sobat spent her early years in Southern Alberta, living in Drumheller, then Shouldice, and on the Blackfoot Indian Reservation, now Siksika Nation, near the hamlet of Gleichen .","(Gail Sidonie Sobat, place of birth, Calgary)"
Tommaso Marconi (born 17 January 1982 in Rome) is an Italian diver .,"(Tommaso Marconi, place of birth, Rome)"
"Virginio Ferrari is an Italian sculptor, born in Verona and based in Chicago from the middle of the 1960s .","(Virginio Ferrari, place of birth, Verona)"
"Benjamin's parents are from Orangeburg, SC but he was born in Queens, New York during the 1960s when many African-Americans decided to relocate to the North for better economic opportunities .","(Stephen K. Benjamin, place of birth, Queens)"
"Felix von Kraus (October 3, 1870 - October 30, 1937) was an Austrian dramatic bass .","(Felix von Kraus, place of birth, Vienna)"
"Johnny Kemp (born 1959, Nassau, Bahamas) is a Bahamian R&B singer and dancer .","(Johnny Kemp, place of birth, Nassau)"
"Born in Bucharest, Errore started performing in school plays during the 1990s .","(Loredana Errore, place of birth, Bucharest)"
Konstantine Vardzelashvili (born 26 July 1972 in Tbilisi) is Vice-President of the Constitutional Court of Georgia .,"(Konstantine Vardzelashvili, place of birth, Tbilisi)"
"Moritz Wilhelm Drobisch (August 16, 1802, in Leipzig - September 30, 1896, in Leipzig) was a German mathematician, logician, psychologist and philosopher .","(Moritz Wilhelm Drobisch, place of birth, Leipzig)"
Baume was born at Marseilles in 1797 .,"(Pierre Henri Joseph Baume, place of birth, Marseille)"
"Linda Crockett, born in Hamilton, Ontario, Canada, is an American author and teacher, best known for her horror, romance, and psychological thrillers .","(Linda Crockett, place of birth, Hamilton)"
"Elsa Lunghini, stage name Elsa (born May 20, 1973, in Paris), is a French singer and actress .","(Elsa Lunghini, place of birth, Paris)"
"Born in Malaysia, Dr Puthucheary went to primary school in Kuala Lumpur, Malaysia, before heading to the United Kingdom for secondary school education at Oundle School .","(Janil Puthucheary, place of birth, Malaysia)"
"Luciano Caruso (b. July 19, 1957 in Turin, Italy) is an Italian Jazz composer and Soprano saxophone performer .","(Luciano Caruso, place of birth, Turin)"
Matteo Barbini (born 8 June 1982 in Venice) is an Italian rugby union player .,"(Matteo Barbini, place of birth, Venice)"
"Born in Montreal, Steven began his career performing and arranging folk and rock music in the 1960s (most notably with The Raftsmen) before pursuing professional studies in music .","(Donald Steven, place of birth, Montreal)"
"Gord Simpson (Born - May 10, 1928 in Winnipeg, Manitoba) was a Canadian ice hockey defenceman who play with the Winnipeg Maroons for 14 years .","(Gord Simpson, place of birth, Winnipeg)"
François Lehideux (born 30 January 1904 in Paris - died 21 June 1998 in Paris) was a French industrialist and member of the Vichy government .,"(François Lehideux, place of birth, Paris)"
"Geoffrey Alderman (born 10 February 1944, Middlesex, England) is a British historian, especially of the Jewish community in England in the 19th and 20th centuries, and also an academic, political adviser and award-winning journalist .","(Geoffrey Alderman, place of birth, Middlesex)"
"Karl Sarafidis is a French actor born in Beirut in 1979, doctor of philosophy, former teacher at Paris-Est University (Val-de-Marne, France) .","(Karl Sarafidis, place of birth, Beirut)"
"Béla Glattfelder (born on 4 May 1967 in Budapest) is a Hungarian politician and Member of the European Parliament with the Hungarian Civic Party, part of the European People's Party and sits on the European Parliament's Committee on International Trade .","(Béla Glattfelder, place of birth, Budapest)"
"Born in Pennsylvania, he was a son of William Magaw of Shippensburg .","(Samuel Magaw, place of birth, Pennsylvania)"
"Gary Callander (born July 5, 1959) is a retired Rugby Union player who was born in Edinburgh, Scotland .","(Gary Callander, place of birth, Edinburgh)"
"Craig Richards (born 1966, Bournemouth, United Kingdom) is a tech house DJ, also known as part of Tyrant alongside Lee Burridge .","(Craig Richards, place of birth, Bournemouth)"
"Born in Baghdad, Aldouri attended Baghdad University and earned a bachelors degree in law in 1964 .","(Mohammed A. Aldouri, place of birth, Baghdad)"
"Rich McNanna is an American actor born in Newark, NJ in 1977 and attended Seton Hall University in South Orange, NJ from 1995-2000 .","(Rich McNanna, place of birth, Newark)"
"Born in Montreal, he was the son of René Faribault and Anna Pauzé and was educated at the Université de Montréal .","(Marcel Faribault, place of birth, Montreal)"
"Adolf Patera (11 July 1819 Vienna - 26 June 1894), was a Bohemian chemist, mineralogist and metallurgist, best known for the important role he played in the utilisation of uranium in colour production in glass, and associated with silver extraction from the mines at Joachimsthal, then part of the Austro-Hungarian Empire, now known as Jáchymov .","(Adolf Patera, place of birth, Vienna)"
"Auguste Georges Darzens (July 12, 1867 in Moscow, Russia - September 10, 1954) was an organic chemist who studied at the École Polytechnique in Paris, France, under Louis Edouard Grimaux and stayed there as a professor .","(Auguste Georges Darzens, place of birth, Moscow)"
"Ivan Triesault (; 14 July 1898, Tallinn, Estonia -- 3 January 1980, Los Angeles) was an Estonian-born American actor .","(Ivan Triesault, place of birth, Tallinn)"
"Born in Yorkshire, Arnold spent much of his life travelling although he considered Brighton his second home .","(Tom Arnold, place of birth, Yorkshire)"
"Born in Columbus, Ohio, Coulter graduated from Ohio State University, where he was a member of Beta Theta Pi In 1904 he became a clerk in New York Children's Court .","(Ernest Kent Coulter, place of birth, Columbus)"
"Mary Scott (1751/2--1793), poet, was born in Somerset, England .","(Mary Scott, place of birth, Somerset)"
"Edmundo Farolan, born in Manila (1943), was a young writer-scholar who had won literary awards abroad when he studied philosophy and letters in Madrid .","(Edmundo Farolan, place of birth, Manila)"
"Lyndsey Rodrigues born July 23, 1981 in Sydney, Australia, is an Australian TV host, actress and former MTV VJ, known as a co-host of the MTV TV series Total Request Live .","(Lyndsey Rodrigues, place of birth, Sydney)"
"Kelly Hardie (born 21 November 1969 in Perth, Western Australia) is a softball pitcher from Australia, who won the bronze medal at the 2000 Summer Olympics .","(Kelly Hardie, place of birth, Perth)"
"H Raskin (April 26, 1911 Edmonton, Alberta - December 22, 1993 Manhattan) was a labor reporter, editorial writer, and assistant editor, for The New York Times, from 1934 to 1977 .","(A. H. Raskin, place of birth, Edmonton)"
"Ammar Eloueini, born 1968 in Beirut, Lebanon .","(Ammar Eloueini, place of birth, Beirut)"
